teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
KIA,NC,10,3,03.09,13:00,창원,경기종료,0,3,0,0,2,0,1,4,0,-,-,-,10,12,1,7,0,0,2,0,0,0,0,1,0,-,-,-,3,6,0,8
LG,KT,5,2,03.09,13:00,수원,경기종료,0,1,2,0,0,0,1,0,1,-,-,-,5,9,0,3,0,0,0,2,0,0,0,0,0,-,-,-,2,7,0,2
SSG,롯데,1,6,03.09,13:00,사직,경기종료,0,0,0,1,0,0,0,0,0,-,-,-,1,9,0,1,0,0,0,0,0,1,4,1,-,-,-,-,6,9,1,6
삼성,한화,2,6,03.09,13:00,대전,경기종료,2,0,0,0,0,0,0,0,0,-,-,-,2,5,0,4,1,0,0,5,0,0,0,0,-,-,-,-,6,10,0,4
키움,두산,8,12,03.09,13:00,이천(두산),경기종료,2,0,0,1,5,0,0,0,0,-,-,-,8,11,2,5,4,2,0,0,2,0,0,4,-,-,-,-,12,13,0,6
KIA,NC,4,6,03.10,13:00,창원,경기종료,0,2,0,0,0,0,1,0,1,-,-,-,4,6,2,3,0,0,2,3,0,1,0,0,-,-,-,-,6,10,0,5
LG,KT,2,3,03.10,13:00,수원,경기종료,0,0,0,0,0,1,1,0,0,-,-,-,2,7,0,3,0,2,0,0,0,0,1,0,-,-,-,-,3,9,0,5
SSG,롯데,5,13,03.10,13:00,사직,경기종료,1,0,0,0,0,0,3,1,0,-,-,-,5,10,0,5,3,0,0,0,4,1,0,5,-,-,-,-,13,16,0,6
삼성,한화,6,1,03.10,13:00,대전,경기종료,0,1,0,0,0,0,1,0,4,-,-,-,6,13,0,4,0,0,0,0,0,0,0,0,1,-,-,-,1,3,1,3
키움,두산,1,3,03.10,13:00,이천(두산),경기종료,0,0,0,0,0,1,0,0,0,-,-,-,1,4,3,5,1,1,0,0,0,0,1,0,-,-,-,-,3,6,0,6
KIA,한화,3,0,03.11,13:00,대전,경기종료,1,1,0,0,0,0,0,0,1,-,-,-,3,5,1,2,0,0,0,0,0,0,0,0,0,-,-,-,0,3,0,2
LG,삼성,5,2,03.11,13:00,대구,경기종료,1,0,0,3,1,0,0,0,0,-,-,-,5,9,1,4,0,0,0,0,0,2,0,0,0,-,-,-,2,10,2,5
두산,롯데,3,0,03.11,13:00,사직,경기종료,0,1,1,0,1,0,0,0,0,-,-,-,3,10,0,6,0,0,0,0,0,0,0,0,0,-,-,-,0,5,0,2
SSG,KT,3,0,03.11,13:00,수원,경기종료,0,0,1,0,0,0,2,0,0,-,-,-,3,8,0,4,0,0,0,0,0,0,0,0,0,-,-,-,0,3,0,0
키움,NC,3,9,03.11,13:00,창원,경기종료,0,0,0,3,0,0,0,0,0,-,-,-,3,7,0,1,3,1,2,0,0,3,0,0,-,-,-,-,9,13,1,5
두산,롯데,-,-,03.12,13:00,사직,경기취소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIA,한화,1,9,03.12,13:00,대전,경기종료,1,0,0,0,0,0,0,0,-,-,-,-,1,5,0,1,9,0,0,0,0,0,0,-,-,-,-,-,9,6,1,8
LG,삼성,3,0,03.12,13:00,대구,경기종료,0,0,0,3,0,0,0,0,0,-,-,-,3,6,1,2,0,0,0,0,0,0,0,0,0,-,-,-,0,3,0,3
SSG,KT,4,8,03.12,13:00,수원,경기종료,1,0,1,0,0,0,0,0,2,-,-,-,4,8,1,3,3,0,2,0,1,2,0,0,-,-,-,-,8,10,0,9
키움,NC,7,8,03.12,13:00,창원,경기종료,1,1,0,1,0,0,1,2,1,-,-,-,7,11,2,3,2,0,0,1,0,0,1,0,4,-,-,-,8,10,5,3
KIA,두산,2,7,03.14,13:00,잠실,경기종료,0,0,0,0,0,1,1,0,0,-,-,-,2,3,0,4,1,0,0,6,0,0,0,0,-,-,-,-,7,13,0,3
KT,한화,4,6,03.14,13:00,대전,경기종료,0,0,1,2,0,1,0,0,0,-,-,-,4,7,0,2,0,0,1,0,3,0,2,0,-,-,-,-,6,8,2,6
